,Data
Кількість ітерацій,87
W1,"[[0.2030074],
 [0.1219651]]"
W2,"[[0.1680268, 0.2081557],
 [0.2384005, 0.1578509],
 [0.4546843, 0.3243779]]"
W3,"[[ 0.200648 ,  0.3708346,  0.1558245],
 [-0.2395036,  0.2607128,  0.2266751]]"
W4,"[[0.6940249, 0.7381032]]"
Y очікуване,0.7
Y реальне,0.6930981397440943
Accuracy,99.01401996344205 %
